Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,NCT of Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,ALL INDIA
1990-91,9654,142.5,3270.2,6563.5,5267.706,7.7,134.2,791.1,1834,106.5,555.1,2531.51,2415.3,1086.6,5738.1,2313.7,274.2,119.8,63.8,152.2,5275.3,58.8,6535,142.1,25.3,5782.4,501.3,10260.3,590.28,10436.5,74291.4
1991-92,9249.4,143.1,3197.2,4753.2,5267.706,4.4,137.2,690.6,1812,103,550.1,2531.51,2826.1,1060.3,5248.5,2100.2,340.5,121.1,71,154,6659.7,63,6755,119.5,22.3,6596.3,474.5,9411.4,590.28,11954.2,74677.6
1992-93,8792.2,116.9,3299.7,3641.2,5267.706,4.4,140.4,829.6,1869,110.3,508.8,2531.51,3068.7,1084.8,5282.9,2363.8,269.3,114,84,176,5387.7,66.6,7002,174.8,20.7,6805.7,438.1,9709.3,590.28,11445.4,72867.7
1993-94,9562,144,3361.1,6108.5,5267.706,1.8,137.8,838.6,2057,101.9,507,2531.51,3182.8,1004,5963.1,2484.4,348.8,117.8,96.7,180,6616.3,58,7642,143.1,20.7,6749.8,493.2,10210.1,590.28,12110.9,80298.2
1994-95,9276.7,105.8,3309.1,6297.9,5267.706,1.8,133,942.1,2227,112.2,584.7,2531.51,3167.5,975.1,6463,2397.1,478.3,111.5,100.2,174,6353.2,68.2,7703,173.2,20.7,7562.8,413.9,10365,590.28,12235.9,81814
1995-96,9014.2,124.5,3390,6640,5267.706,13,128.1,826.6,1847,111.2,508.5,2531.51,3023.9,953,5839.1,2562.8,331.8,111.8,101.5,185,6226.2,64.6,6768,117.6,21.9,5290,465.5,10362.5,590.28,11887,76975.3
1996-97,10686,129.4,3328.2,3323.9,5267.706,3.1,148,946,2463,108.6,431.4,2531.51,3211.6,208.17,5939.1,2614.4,367.3,141.1,111.2,153,4438.4,60.5,7334,174.2,22.1,1903.8,266,11767.7,590.28,12636.8,80736.3
1997-98,8510,129.5,3382.9,7133.2,5267.706,5.3,147.5,1042.3,2556,120.4,549.3,2531.51,3212.7,764.6,4528.2,2414.6,351.7,150.1,110.3,187.3,6204.6,51.5,7904,190.3,21.4,6893.7,535.8,12175.4,590.28,13216.6,82544.5
1998-99,11878,114.1,3254.8,6769.4,5267.706,6,151.2,1015.8,2425,117.8,589.1,2531.51,3656.9,726.7,5060.6,2467.6,382.2,149.7,109.2,209.6,5391.5,51.5,7940,205.5,22,8141.4,491.5,11386.6,590.28,13316.5,86076.7
1999-00,10637.8,134.8,3861,7251.9,5267.706,6.7,208.9,984.9,2583,120.4,391.1,2531.51,3716.7,770.8,6376.5,2558.9,365,170.7,88.4,132.4,5187,59.4,8716,252.6,23.4,7532.1,505.7,13231,590.28,13759.7,89682.9
