Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,NCT of Delhi,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Madhya Pradesh,Maharashtra,Meghalaya,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,ALL INDIA
1990-91,9,6.7,104.8,3560.4,0,110.9,1443.7,6440,601.7,297.4,0,124.8,5832.6,918.7,5.9,1.3,55.6,12155,4308.6,19.6,6.9,18600.1,0,530.2,55134.5
1991-92,6.8,6.8,111.2,3594.3,0,109.4,905.7,6502,595.8,308,0,142.1,5138,625.7,5.6,1.6,56.5,12295,4478.4,14.2,4.7,20229.4,0,557.5,55689.5
1992-93,7.6,6.4,78.7,3449.5,0,109.4,1360.2,7083,593.5,347.3,0,158.1,5242.6,797.6,6.2,0.3,7.5,12369,5147.8,14.1,9.1,19834.3,0,587.3,57210.1
1993-94,5.9,8.5,100.8,4356.7,0,103.9,928.2,7231,412.6,352.1,0,192,6766.6,1055.9,6.6,1,5,13377,3459.5,14.1,7.8,20822.4,0,632.1,59840.3
1994-95,8.4,7.6,103.6,4275,0,103.9,1962.4,7303,599.3,349.1,0,171.8,7278.6,1111.2,6.4,0.6,6.7,13542,5612.7,14.9,4.9,22560.2,0,744.5,65767.4
1995-96,7.8,7.3,95.1,4238.9,0,102.3,1123.5,7291,537.1,399.2,0,145.6,6666.6,897.7,4.7,1.5,6.1,12518,5493.3,15.3,5.2,21815.6,0,725.3,62097.4
1996-97,9,6.1,117.1,4560.7,0,23.9,1336,7826,531,412.6,0,190.3,7793.2,1167,6.9,2.5,6.6,13672,6782,14.8,3.9,24049.6,0,839,69350.2
1997-98,6,5.7,110.1,4848.7,0,29.4,1647,7554,641.3,396.5,0,118.5,7220.2,671,6.9,3,6.6,12715,6701,14,4.4,22838.9,0,810.5,66349.9
1998-99,6,4.4,90.5,4403.7,0,28.5,1702.6,8568,641.4,368.4,0,219.4,8333.4,1308.5,7,9.4,4.4,14460,6879.8,6.4,2.1,23465.2,0,778.1,71287.5
1999-00,9,5.1,98,4687.1,0,30.8,1020,9650,583.3,434.3,0,217.6,8685.2,1436.1,7,12.5,7.7,15910,6731.9,12.8,2.4,25976.4,0,850.8,76368.9
