,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,estimate
Year,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Andhra Pradesh,9.0,6.8,7.6,5.9,8.4,7.8,9.0,6.0,6.0,9.0,8.0,9.0,14.0,7.0,5.0,9.0,9.0,8.0,16.0,10.0,13.0,11.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69
Arunachal Pradesh,6.7,6.8,6.4,8.5,7.6,7.3,6.1,5.7,4.4,5.1,6.2,5.3,6.3,6.3,8.7,6.1,6.3,5.3,5.2,4.8,5.9,6.5,4.4,4.5,7.5,7.7,7.7,7.7,7.7,0.0,0.0,5.64
Assam,104.8,111.2,78.7,100.8,103.6,95.1,117.1,110.1,90.5,98.0,85.7,85.3,78.0,73.0,68.1,53.7,67.0,71.0,54.6,63.5,52.8,60.3,44.2,40.4,28.8,34.3,23.5,24.7,23.7,14.4,20.4,33.94
Bihar,3560.4,3594.3,3449.5,4356.7,4275.0,4238.9,4560.7,4848.7,4403.7,4687.1,4438.0,4391.1,4040.6,3688.9,3263.4,3239.0,3911.4,4450.4,4410.0,4570.8,4097.6,4725.0,5375.2,4738.0,3987.0,4736.4,5110.8,6104.3,6465.6,5579.7,6336.9,4955.4
Chhattisgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,103.5,98.6,108.6,82.4,90.7,91.7,98.8,92.5,121.9,126.8,133.1,141.3,134.0,135.3,137.4,159.5,130.7,162.7,116.3,248.4,156.57
NCT of Delhi,110.9,109.4,109.4,103.9,103.9,102.3,23.9,29.4,28.5,30.8,97.9,91.6,79.7,102.3,71.0,79.4,77.7,76.2,74.4,92.7,111.0,84.8,65.3,84.7,85.6,85.6,87.2,83.4,82.9,0.0,0.0,69.12
Gujarat,1443.7,905.7,1360.2,928.2,1962.4,1123.5,1336.0,1647.0,1702.6,1020.0,649.0,1144.7,856.6,2036.5,1805.5,2473.0,3000.0,3838.0,2593.0,2352.0,4019.5,4072.0,2944.0,4694.0,3059.0,2484.0,2737.0,3069.0,2407.4,3326.8,3258.5,3316.19
Haryana,6440.0,6502.0,7083.0,7231.0,7303.0,7291.0,7826.0,7554.0,8568.0,9650.0,9669.0,9437.0,9188.0,9114.0,9058.0,8857.0,10055.0,10236.0,10808.2,10500.0,11630.0,12685.7,11117.0,11800.0,10354.0,11352.0,11546.8,10765.3,12574.0,11876.4,12358.9,12050.97
Himachal Pradesh,601.7,595.8,593.5,412.6,599.3,537.1,531.0,641.3,641.4,583.3,251.3,637.1,495.6,498.0,684.0,679.0,501.6,504.4,547.3,327.1,546.5,595.8,608.6,670.7,646.5,667.6,704.2,565.7,564.6,563.4,630.7,575.97
